# VIRUSFlow baseline_relative_response payload
# payload_version: remedy-effective-response-atmosphere-separated-1.0
# response_definition: throughput / normalization
# columns: wavelength_angstrom response uncertainty mask
# uncertainty: NaN because neither legacy input supplied response uncertainty
# mask bits: 1=response_invalid, 2=uncertainty_unavailable
# units: wavelength=Angstrom; response=1; uncertainty=1; mask=bit field
# provenance: legacy Remedy effective response with modeled atmosphere removed
# throughput_sha256: 6a6715e048dbc7d8ef709f371b2bdf2b0f7bf0fc2c063134b184d9494c9f141a
# normalization_sha256: c8c3eee4b89e1a688e9c438e451b5e63d8c961e860cb00c0e40ab4cdd0770c23
# method_identity: legacy-remedy-effective-response; exact curve-producing release unknown
# applicability: legacy Remedy reference epoch unspecified; five-pixel fractional aperture
# applicability: no fitted detector PSF; gap-sampled smooth scattered-light correction
# atmospheric_content: removed_with_model
# construction_extinction_model: mcdonald_extinction.dat
# construction_airmass: 1.22
# construction_airmass_basis: HET fixed altitude
# source_baseline: legacy Remedy throughput / normalization
# scientific_claim: atmosphere-separated empirical relative response, not absolute flux calibration
4144.0 0.1991816983607417 nan 2
4146.0 0.19917482139576048 nan 2
4148.0 0.199167065036986 nan 2
4150.0 0.19915843084212217 nan 2
4152.0 0.19914892038365831 nan 2
4154.0 0.19913853524878081 nan 2
4156.0 0.19912727703928448 nan 2
4158.0 0.19911514737148306 nan 2
4160.0 0.19910214787611963 nan 2
4162.0 0.1990882801982761 nan 2
4164.0 0.19907354599728272 nan 2
4166.0 0.19905794694662657 nan 2
4168.0 0.19904148473386044 nan 2
4170.0 0.19902416106051021 nan 2
4172.0 0.19900597764198266 nan 2
4174.0 0.19898693620747218 nan 2
4176.0 0.19896703849986813 nan 2
4178.0 0.19894628627566005 nan 2
4180.0 0.19892468130484428 nan 2
4182.0 0.19890222537082902 nan 2
4184.0 0.19887892027033963 nan 2
4186.0 0.19885476781332292 nan 2
4188.0 0.19882976982285175 nan 2
4190.0 0.19880392813502878 nan 2
4192.0 0.19877724459889029 nan 2
4194.0 0.19874972107630906 nan 2
4196.0 0.19872135944189753 nan 2
4198.0 0.19869216158291039 nan 2
4200.0 0.19866212939914654 nan 2
4202.0 0.19865804984708824 nan 2
4204.0 0.19865313487038488 nan 2
4206.0 0.19864738606940613 nan 2
4208.0 0.19864080505763274 nan 2
4210.0 0.19863339346156578 nan 2
4212.0 0.19862515292063584 nan 2
4214.0 0.19861608508711098 nan 2
4216.0 0.19860619162600529 nan 2
4218.0 0.19859547421498686 nan 2
4220.0 0.19858393454428494 nan 2
4222.0 0.19857157431659758 nan 2
4224.0 0.19855839524699825 nan 2
4226.0 0.19854420872286976 nan 2
4228.0 0.19852787560168195 nan 2
4230.0 0.19850921032170077 nan 2
4232.0 0.19848821792886406 nan 2
4234.0 0.19846490360990604 nan 2
4236.0 0.19843927269135092 nan 2
4238.0 0.19841133063848593 nan 2
4240.0 0.19838108305431706 nan 2
4242.0 0.19828411191615825 nan 2
4244.0 0.1981850046474195 nan 2
4246.0 0.19808376898638813 nan 2
4248.0 0.19798041278951281 nan 2
4250.0 0.19787494403013456 nan 2
4252.0 0.19776737079720375 nan 2
4254.0 0.19765770129398419 nan 2
4256.0 0.19754594383674409 nan 2
4258.0 0.19743210685343385 nan 2
4260.0 0.19731619888235138 nan 2
4262.0 0.19719822857079658 nan 2
4264.0 0.19707820467371309 nan 2
4266.0 0.19695613605231885 nan 2
4268.0 0.1968320316727265 nan 2
4270.0 0.19670590060455276 nan 2
4272.0 0.19657775201951777 nan 2
4274.0 0.19644759519003477 nan 2
4276.0 0.19631543948779048 nan 2
4278.0 0.19618129438231621 nan 2
4280.0 0.19604516943955075 nan 2
4282.0 0.19590707432039464 nan 2
4284.0 0.19576701877925679 nan 2
4286.0 0.19562501266259388 nan 2
4288.0 0.19548106590744188 nan 2
4290.0 0.19533518853994183 nan 2
4292.0 0.19518739067385837 nan 2
4294.0 0.19503768250909281 nan 2
4296.0 0.19488607433019051 nan 2
4298.0 0.19473257650484299 nan 2
4300.0 0.19457719948238503 nan 2
4302.0 0.19441995392250117 nan 2
4304.0 0.19426085030286025 nan 2
4306.0 0.19409989930866361 nan 2
4308.0 0.19393711170070366 nan 2
4310.0 0.1937739606216988 nan 2
4312.0 0.19361920680630304 nan 2
4314.0 0.19347426375388399 nan 2
4316.0 0.19333908303589142 nan 2
4318.0 0.19321361929874176 nan 2
4320.0 0.19309783022806476 nan 2
4322.0 0.19299167651538623 nan 2
